dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,Driver,LapNumber
0.0,2.0515485,0.0,2.70326,4.5709863,0.0,1.1528004,2.944305,2.0365856,3.818342,0.73927903,1.3849908,2.3567443,0.0,0.64244723,0.0,0.0,0.31610644,0.0,4.2768908,2.154159,2.7502222,1.6510775,4.686675,0.0,0.0,0.3807628,0.0,3.8359869,3.3335524,4.6671243,1.0163921,ALO,2.0
0.0,2.2408054,0.0,1.9627461,4.665234,0.14727186,1.9698993,3.7115417,1.5638831,3.8350441,0.0062717437,1.6545647,3.2103188,0.0,0.18925129,0.0,0.0,0.31831184,0.0,4.0688047,1.3954347,2.5353048,2.0819936,4.0043855,0.0,0.0,0.055447638,0.0,3.4515593,3.3980322,4.4999924,0.23240775,ALO,3.0
0.0,2.4530294,0.0,2.0055714,4.913837,0.25494838,2.0270085,3.9316292,1.820427,4.0025682,0.03068699,1.9293885,3.172986,0.0,0.2726871,0.0,0.0,0.31339484,0.0,4.2382336,1.3935875,2.571076,2.1270885,4.0664377,0.0,0.0,0.10068302,0.0,3.6000974,3.6780863,4.6008496,0.3089673,ALO,4.0
0.0,3.2627769,0.0,1.7264074,5.480829,0.62242585,2.2459056,4.509772,2.040749,4.3604937,0.0,2.2916355,3.4301581,0.0,0.0,0.0,0.0,0.0,0.0,5.074437,1.0425894,2.9878771,2.4955893,4.0608745,0.0,0.0,0.0,0.0,4.0310955,4.0166492,4.944426,0.0,ALO,5.0
0.0,3.3200963,0.0,1.7724016,5.6771445,0.76416737,1.8502306,4.305345,2.197805,4.5652933,0.0,2.1759083,3.2394788,0.0,0.0,0.0,0.0,0.0,0.0,5.1108685,1.1047738,2.8527815,2.232065,4.1870522,0.0,0.0,0.0,0.0,4.067497,4.182114,5.0207505,0.0,ALO,6.0
0.0,2.9307396,0.0,1.5619458,5.0904303,0.6675597,2.025671,4.1698914,2.08143,4.066509,0.0,2.4241068,3.0103137,0.0,0.0,0.0,0.0,0.0,0.0,4.395157,1.0140859,2.4261632,2.4463427,3.4355009,0.0,0.0,0.0,0.0,3.4779227,3.8792195,4.279073,0.040154062,ALO,7.0
0.0,2.7912498,0.0,1.8546436,4.952209,0.46928188,2.0600317,4.1152105,2.0966454,3.9175968,0.22729665,2.2450867,2.983989,0.0,0.09623404,0.0,0.0,0.0,0.0,4.601613,1.182351,2.735009,2.1248538,3.9498284,0.0,0.0,0.0,0.0,3.8027189,3.710628,4.6371875,0.22475065,ALO,8.0
0.0,3.0254924,0.0,1.926962,5.5942593,0.684249,1.5529027,3.9433193,2.265661,4.575121,0.0,2.1154068,2.975272,0.0,0.0,0.0,0.0,0.0,0.0,4.654954,1.3254423,2.4781258,2.198585,3.9926674,0.0,0.0,0.0,0.0,3.756597,4.1624775,4.738928,0.26961812,ALO,9.0
0.0,2.4806077,0.0,2.6141226,5.2806334,0.2566085,0.9795241,3.1675558,2.3926873,4.4161654,0.30143315,1.6451198,2.4087985,0.0,0.29314643,0.0,0.0,0.32633343,0.0,4.5358114,2.0552225,2.5921547,1.8396304,4.609926,0.0,0.0,0.0,0.0,3.9238207,3.8887103,4.854118,0.92907655,ALO,10.0
0.0,2.3868906,0.0,2.4200444,5.346281,0.29444632,0.8555729,3.0503218,2.1902897,4.51038,0.0,1.4713688,2.4318814,0.0,0.11308223,0.0,0.0,0.56269664,0.0,4.210245,1.925933,2.250128,1.7640508,4.3499827,0.0,0.0,0.0,0.0,3.6236935,3.9259276,4.665608,0.79089695,ALO,11.0
