Driver,LapNumber,umap_x,umap_y
ALO,2.0,19.290646,3.2611227
ALO,3.0,18.795055,3.6457994
ALO,4.0,18.98076,3.5780754
ALO,5.0,19.860207,4.5179725
ALO,6.0,19.882225,4.5733924
ALO,7.0,18.393837,4.616981
ALO,8.0,19.356157,3.9799907
ALO,9.0,19.581316,4.4860773
ALO,10.0,19.418856,3.2181368
ALO,11.0,19.381939,3.1987844
ALO,12.0,18.324734,4.094787
ALO,13.0,19.342457,3.1661785
ALO,14.0,19.519505,3.2717462
ALO,16.0,19.288969,3.5901885
ALO,17.0,18.537956,3.7774904
ALO,18.0,18.846926,3.9825618
ALO,19.0,18.918394,3.8834577
ALO,20.0,18.922993,4.104768
ALO,21.0,19.126963,3.5397499
ALO,22.0,18.6632,3.821628
ALO,23.0,19.774939,4.198815
ALO,24.0,18.611204,4.623292
ALO,25.0,18.415363,4.650947
ALO,26.0,19.891335,4.4666276
ALO,27.0,19.075151,4.093583
ALO,28.0,19.8233,4.4448686
ALO,29.0,18.946156,4.2083035
ALO,30.0,18.56181,4.122071
ALO,31.0,19.440075,4.5684004
ALO,32.0,18.275154,4.643747
ALO,33.0,19.492617,4.689506
ALO,34.0,18.644825,4.3441205
ALO,36.0,19.602879,4.082185
ALO,37.0,18.253279,4.2036967
ALO,38.0,18.228981,4.2304735
ALO,39.0,18.674936,4.271094
ALO,40.0,19.631058,4.1059947
ALO,42.0,19.456997,3.8038197
ALO,43.0,19.482084,4.6786623
ALO,44.0,18.225328,4.427965
ALO,45.0,18.272022,4.7601085
ALO,46.0,18.528973,4.354232
ALO,47.0,18.516174,4.7965474
ALO,48.0,18.79579,3.7196524
ALO,49.0,19.641928,4.3151646
ALO,50.0,19.542572,4.725875
ALO,51.0,19.414543,4.719568
ALO,52.0,19.464653,4.213591
ALO,53.0,19.542088,4.689511
ALO,54.0,19.384111,3.7019644
ALO,55.0,18.630615,3.7359366
ALO,56.0,19.402117,3.861162
ALO,57.0,19.250782,4.169386
HAM,1.0,12.473304,-9.908726
HAM,2.0,13.075035,-7.563544
HAM,3.0,12.957647,-7.6857114
HAM,4.0,12.989274,-7.6986046
HAM,5.0,12.900021,-7.604665
HAM,6.0,13.006133,-7.522187
HAM,7.0,12.715416,-7.7728467
HAM,8.0,12.985298,-7.4720306
HAM,9.0,12.109575,-9.535517
HAM,10.0,12.090404,-8.58307
HAM,11.0,12.797805,-9.326434
HAM,14.0,12.697702,-8.202537
HAM,15.0,12.881246,-7.9545097
HAM,16.0,12.93792,-7.932761
HAM,17.0,12.69229,-8.729994
HAM,18.0,12.727158,-8.308146
HAM,19.0,12.759317,-8.908109
HAM,20.0,12.767213,-8.898007
HAM,21.0,12.555295,-9.170553
HAM,22.0,12.333626,-9.460367
HAM,23.0,12.426275,-8.9337635
HAM,24.0,12.326168,-9.221454
HAM,25.0,12.160462,-9.027605
HAM,26.0,12.448296,-9.162552
HAM,27.0,11.976233,-8.932799
HAM,28.0,12.220543,-9.478751
HAM,29.0,12.331473,-10.020308
HAM,30.0,12.379522,-9.975063
HAM,32.0,12.751329,-9.044666
HAM,33.0,12.841445,-8.140442
HAM,34.0,12.770382,-8.335306
HAM,35.0,12.766942,-8.17592
HAM,36.0,12.486564,-9.271854
HAM,37.0,12.293149,-10.049593
HAM,38.0,12.378095,-9.982634
HAM,39.0,12.328263,-10.008211
HAM,40.0,12.601899,-9.231396
HAM,42.0,12.764256,-7.7471895
HAM,43.0,12.37028,-8.785908
HAM,44.0,12.375827,-8.775791
HAM,45.0,12.149671,-8.629905
HAM,46.0,12.627452,-7.716643
HAM,47.0,12.620707,-9.732571
HAM,48.0,12.553498,-9.816778
HAM,49.0,12.951901,-7.478951
HAM,50.0,12.057587,-8.76777
HAM,51.0,11.9133005,-8.993452
HAM,52.0,11.894247,-9.098739
HAM,53.0,12.103176,-8.573118
HAM,54.0,12.277989,-8.536064
HAM,55.0,12.624802,-7.850561
HAM,56.0,11.894124,-9.091453
HAM,57.0,12.370339,-10.013842
LEC,1.0,-6.417494,7.949025
LEC,2.0,-6.2127857,8.768098
LEC,3.0,-6.288344,8.645846
LEC,4.0,-5.9706993,7.4347367
LEC,5.0,-6.473793,7.9796185
LEC,6.0,-6.0160728,7.64666
LEC,7.0,-5.9808407,7.3490157
LEC,8.0,-6.0871344,7.435074
LEC,9.0,-6.013264,7.3574142
LEC,10.0,-5.7586246,7.4868255
LEC,11.0,-6.1910663,7.351162
LEC,12.0,-5.8325295,7.401269
LEC,13.0,-6.5171523,7.9215302
LEC,15.0,-6.096277,8.855907
LEC,16.0,-6.227717,8.549922
LEC,17.0,-6.570354,8.405247
LEC,18.0,-6.420991,8.532351
LEC,19.0,-6.1787753,8.576201
LEC,20.0,-6.0494666,8.508033
LEC,21.0,-5.87666,7.5054026
LEC,22.0,-6.0941997,7.779224
LEC,23.0,-6.723779,8.190037
LEC,24.0,-6.242246,7.872044
LEC,25.0,-6.0306764,8.255862
LEC,26.0,-6.2017417,8.030938
LEC,27.0,-6.0064383,8.415668
LEC,28.0,-5.9468613,8.254053
LEC,29.0,-6.5682206,8.384182
LEC,30.0,-6.6736,8.145202
LEC,31.0,-6.3600407,8.523115
LEC,32.0,-6.1866026,7.4037247
LEC,33.0,-6.358329,8.652511
LEC,35.0,-6.21489,8.789538
LEC,36.0,-6.0386696,8.37051
LEC,37.0,-6.2164493,8.027955
LEC,38.0,-6.111417,8.92873
LEC,39.0,-6.124885,8.362048
NOR,2.0,1.1064905,1.8775412
NOR,3.0,0.444304,2.2081132
NOR,5.0,0.5349309,2.4542263
NOR,6.0,1.0915649,1.8822218
NOR,7.0,0.3680762,2.3235564
NOR,8.0,0.72765297,2.2563515
NOR,9.0,0.57965815,2.0413327
NOR,12.0,1.3295773,1.9951062
NOR,13.0,1.131035,2.3839054
NOR,14.0,0.6820127,2.056045
NOR,15.0,1.030599,2.9143498
NOR,16.0,1.0523405,2.5396276
NOR,17.0,1.2604514,3.1592128
NOR,19.0,0.95420223,2.113347
NOR,20.0,0.932712,2.0373642
NOR,21.0,0.88027245,3.0360608
NOR,22.0,1.0031034,2.4685364
NOR,23.0,1.2464097,3.1171644
NOR,24.0,0.81375307,2.6876864
NOR,25.0,1.3226031,2.3049655
NOR,26.0,0.50734717,2.0632136
NOR,27.0,0.79618096,3.1538537
NOR,29.0,1.1777619,2.0499318
NOR,30.0,1.1473724,2.1835113
NOR,31.0,1.4225007,2.6611063
NOR,32.0,0.6523287,2.8945801
NOR,33.0,0.9606874,3.111162
NOR,34.0,0.3833716,2.1195526
NOR,35.0,1.4643384,2.8907828
NOR,36.0,1.4666954,2.2340586
NOR,37.0,0.67685276,2.8163383
NOR,39.0,1.0649426,1.7784814
NOR,41.0,1.4075825,2.9275656
NOR,42.0,1.3642906,2.6938763
NOR,43.0,1.4751468,2.635301
NOR,44.0,1.1603831,3.084543
NOR,45.0,0.43645912,2.533461
NOR,46.0,0.8486587,3.1721928
NOR,47.0,0.72603816,2.669655
NOR,49.0,1.2628084,1.9943053
NOR,50.0,1.2124823,3.2804294
NOR,51.0,1.0922146,3.3774695
NOR,52.0,1.0167537,3.3647249
NOR,53.0,0.9745726,3.3825738
NOR,54.0,0.39027998,2.240968
SAI,1.0,2.1978195,-8.219479
SAI,2.0,2.8644888,-8.724958
SAI,3.0,3.1908035,-7.5494595
SAI,4.0,3.165094,-7.547059
SAI,5.0,2.6987364,-7.42548
SAI,6.0,2.6311555,-7.4082217
SAI,7.0,3.118134,-7.629321
SAI,8.0,3.1685672,-7.793408
SAI,9.0,3.15786,-8.196659
SAI,10.0,3.302505,-7.7054167
SAI,11.0,3.2147655,-7.480987
SAI,12.0,2.5469372,-7.362374
SAI,13.0,2.3853674,-7.866384
SAI,15.0,2.3181322,-9.379531
SAI,16.0,2.4685762,-9.127073
SAI,17.0,2.303323,-9.209215
SAI,18.0,2.1566195,-8.706747
SAI,19.0,2.4713545,-9.307547
SAI,20.0,2.698647,-7.7029934
SAI,21.0,3.0359435,-8.2340355
SAI,22.0,3.0116863,-8.06255
